itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
4501,嘉信投资,嘉信投资,28450,
4502,莱沃创投,查无,,
4503,中融盛投资,查无,,
4504,富帮金都,查无,,
4505,吉慷创投,查无,,
4506,融汇创投,查无,,
4507,泰尔润创投,查无,,
4508,大禹投资,查无,,
4509,鼎盛创投,查无,,
4510,科纳尔创投,查无,,
4511,中凯信创投,查无,,
4512,金信投资,金信资本,4824,
4513,中小创投,查无,,
4514,鑫根投资,查无,,
4515,重庆鑫根,查无,,
4516,天津鑫根,天津鑫根,3329,
4517,红日创投,查无,,
4518,鼎力创投,查无,,
4519,百益投资,查无,,
4520,港银创投,查无,,
4521,旗银创投,查无,,
4522,睿地创投,查无,,
4523,首创投资,查无,,
4524,欣创投资,欣创投资,29006,
4525,英皇金汇,查无,,
4526,银家创投,查无,,
4527,汇商华邦,查无,,
4528,古今创投,查无,,
4529,中电JAIC,查无,,
4531,德清科投,查无,,
4532,弘帆创投,弘帆创投,8064,
4533,牛润创投,牛润创投,3453,
4534,光音网络,光音网络,8006,
4535,高新新联,查无,,
4536,领域创投,查无,,
4537,淮安创投,查无,,
4538,蓝晶创投,查无,,
4539,丹阳盛宇,丹阳盛宇投资管理有限公司,23750,
4540,索道投资,索道投资,13021,
4541,金承创投,查无,,
4542,湘水洞庭资本,湘水洞庭资本,29118,
4543,帝沃投资,查无,,
4544,中汇创投,查无,,
4545,老街盛元,查无,,
4546,皇骐资本,查无,,
4547,爱德创投,查无,,
4548,银涛创投,查无,,
4549,悦卜林创投,查无,,
4550,汇金添富,查无,,
4551,高交创投,查无,,
4553,东科创投,查无,,
4554,合银创投,合银创投,29239,
4555,比邻创投,比邻创投,28650,
4556,海聚创投,查无,,
4557,亿泓投资,查无,,
4558,硕华兑中,查无,,
4559,怀特豪斯,查无,,
4560,万鼎创投,查无,,
4561,威盛投资,威盛股权投资,4124,
4562,环信投资,查无,,
4563,时代财富,查无,,
4564,辰石投资,查无,,
4565,青岛海世创投,查无,,
4566,弘仁投资,查无,,
4567,恒川海创投,查无,,
4568,飞驰投资,查无,,
4569,联信投资,深圳市联信投资有限公司,24411,
4570,民富投资,查无,,
4571,雷石合安,天津雷石合安股权投资管理合伙企业（有限合伙）,24563,
4572,领锐科投,查无,,
4573,民宇投资,查无,,
4574,通成创投,查无,,
4575,天筹投资,查无,,
4576,上金阁投资,查无,,
4577,舒博医疗投资,查无,,
4578,金牛创投,金牛创投,28583,
4579,温迪数字,查无,,
4580,益鼎创投,益鼎创业投资有限公司,7356,
4581,易临投资,查无,,
4582,开封文投集团,查无,,
4583,汇鑫丰投资,查无,,
4584,联动中国资本投资,查无,,
4585,过桥投资,查无,,
4586,盛润创投,查无,,
4587,月阳投资,查无,,
4588,顺道投资,查无,,
4589,普威投资,查无,,
4590,浙江安信资产,查无,,
4591,欧迅创投,查无,,
4592,兴诺创投,查无,,
4593,同禾资本,查无,,
4594,汇创投资,查无,,
4595,东来投资,查无,,
4596,日亚（天津）创投,查无,,
4597,润海投资,查无,,
4598,经世投资,查无,,
4599,安润和投资,查无,,
4600,海信汇通,查无,,
4601,德实投资,查无,,
4602,瑞银联合,查无,,
4603,茂源资本,查无,,
4604,大新机构,查无,,
4605,百瑞银投资,查无,,
4606,新鹏程投资,查无,,
4607,中天银泰,查无,,
4608,金涌泉投资,查无,,
4609,新益创投,查无,,
4610,21世纪投资,查无,,
4611,华集投资,查无,,
4612,世用资本,查无,,
4613,天度投资,查无,,
4614,龙富投资,查无,,
4615,锐旗资本,锐旗资本,3356,
4616,博宁资本,博宁资本,696,
4617,风瑞投资,查无,,
4618,鼎信博成,查无,,
4619,中科合众投资,查无,,
4620,新睿资本,查无,,
4621,新浪,新浪公司,479,
4622,华浩投资,查无,,
4623,格裕达,查无,,
4624,银万斯特,查无,,
4625,英泰格瑞,英泰格瑞,13038,
4626,五牛基金,五牛基金,996,
4627,长润金控,查无,,
4628,金禾基业,查无,,
4629,信泰天成,查无,,
4630,新安创投,查无,,
4631,天益汇通,查无,,
4632,汉融科投,查无,,
4633,新海天资本,查无,,
4634,盛乾资本,查无,,
4635,蓝融投资,查无,,
4636,万荣投资,查无,,
4637,新德集团,新德集团传统产业转型基金,7899,
4638,钛和投资,钛和投资,28706,
4639,东方天业,查无,,
4640,联丰投资,查无,,
4641,东方再生,查无,,
4642,广通天下,查无,,
4643,广通投资,查无,,
4644,乾丰投资,查无,,
4645,中金经典,查无,,
4646,国润瑞银,查无,,
4648,银信投资,查无,,
4649,中高投,中国高新技术产业投资管理有限公司,23745,
4650,尚世投资,查无,,
4651,中兴国际,查无,,
4652,陈盛仁和,查无,,
4653,凯洛格,查无,,
4654,汇博股权基金,查无,,
4655,中鼎创投,查无,,
4656,北方联合,北方联合出版传媒(集团)股份有限公司,9723,
4657,久银投资,北京久银投资控股股份有限公司,13681,
4658,力彦创投,查无,,
4659,高和创投,高和创投,28705,
4660,百富辰,查无,,
4661,同冀华成,查无,,
4662,龙鼎资产,查无,,
4663,东银投资,东银投资,28559,
4664,广道创投,厦门广道创业投资管理有限公司,24050,
4665,农银投资,查无,,
4666,九州华伟,查无,,
4667,华邦投资,查无,,
4668,茂汇投资,查无,,
4669,禾今投资,查无,,
4670,财富基金,查无,,
4671,新至睿投资,查无,,
4672,誉博投资,查无,,
4673,广诚投资,查无,,
4674,海石投资,海石资本,4944,
4675,华商盈达创投,查无,,
4676,惠宇投资,查无,,
4677,金汇资本,查无,,
4678,寰宇万银,查无,,
4679,合富资本,查无,,
4680,鑫丘投资,鑫丘投资,3595,
4681,汇银合富,查无,,
4682,新能资本,查无,,
4683,东瓯嘉富诚,查无,,
4684,瑞成宏业,查无,,
4686,润基投资,查无,,
4687,冠凯投资,查无,,
4688,万基泰投资,查无,,
4689,正邦投资,查无,,
4690,盈鑫投资,查无,,
4691,盈富投资,查无,,
4692,协和投资,查无,,
